Mid.Latitude.South,**,p94_r84,12/18/2001,57.91,0.00%,no,0.00%,LE07_L1TP_094084_20011218_20170201_01_T1,Val
Mid.Latitude.South,**,p100_r82,12/12/2001,59.33,0.43%,no,11.92%,LE07_L1TP_100082_20011212_20170202_01_T1,Train
Mid.Latitude.South,**,p175_r83,10/22/2001,53.75,32.44%,yes,36.17%,LE07_L1TP_175083_20011022_20170202_01_T1,Train
Mid.Latitude.South,**,p225_r83,10/20/2001,53.27,90.71%,no,80.55%,LE07_L1TP_225083_20011020_20170202_01_T1,Train
Mid.Latitude.South,**,p227_r84,10/18/2001,51.73,81.76%,no,84.43%,LE07_L1GT_227084_20011018_20170202_01_T2,Test
Polar.North,**,p43_r1,7/21/2001,28.21,1.43%,no,13.52%,LE07_L1TP_043001_20010721_20170204_01_T1,Test
Polar.North,**,p57_r11,7/23/2001,40.04,31.35%,no,37.29%,LE07_L1TP_057011_20010723_20170204_01_T1,Val
Polar.North,**,p60_r5,7/12/2001,34.7,0.10%,no,0.43%,LE07_L1TP_060005_20010712_20170204_01_T1,Train
Polar.North,**,p61_r2,6/14/2000,32.24,0.15%,no,1.41%,LE07_L1TP_061002_20000614_20170211_01_T1,Train
Polar.North,**,p75_r246,6/3/2001,26.17,99.54%,no,99.86%,LE07_L1GT_075246_20010603_20170205_01_T2,Train
Polar.North,**,p117_r17,7/28/2001,46.04,0.02%,yes,10.26%,LE07_L1TP_117017_20010728_20170204_01_T1,Train
Polar.North,**,p138_r16_1,3/25/2001,28,0.77%,no,0.00%,LE07_L1TP_138016_20010325_20170206_01_T1,Train
Polar.North,**,p138_r16_2,6/13/2001,49.34,33.07%,yes,29.29%,LE07_L1TP_138016_20010613_20170205_01_T1,Val
Polar.North,**,p138_r16_3,9/1/2001,34.52,63.60%,yes,62.13%,LE07_L1TP_138016_20010901_20170203_01_T1,Train
Polar.North,**,p146_r11,7/7/2001,42.71,85.88%,no,86.88%,LE07_L1TP_146011_20010707_20170204_01_T1,Test
Polar.North,**,p195_r10,6/12/2001,42.15,22.22%,yes,38.60%,LE07_L1TP_195010_20010612_20170204_01_T1,Train
Polar.North,**,p197_r14,6/26/2001,47.06,19.31%,no,18.97%,LE07_L1TP_197014_20010626_20170205_01_T1,Train
Subtropical.North,**,p24_r39,9/2/2001,57.54,96.76%,no,97.63%,LE07_L1GT_024039_20010902_20161001_01_T2,Train
Subtropical.North,**,p25_r40,7/23/2001,64.12,36.41%,no,35.82%,LE07_L1TP_025040_20010723_20160930_01_T1,Train
Subtropical.North,**,p26_r46,3/24/2001,57,10.51%,yes,8.48%,LE07_L1TP_026046_20010324_20170206_01_T1,Test
Subtropical.North,**,p35_r42,8/14/2001,62.2,3.75%,yes,3.31%,LE07_L1TP_035042_20010814_20170204_01_T1,Train
Subtropical.North,**,p139_r45,9/8/2001,60.2,44.40%,no,16.89%,LE07_L1TP_139045_20010908_20170203_01_T1,Test
Subtropical.North,**,p145_r43_1,1/21/2001,37.67,0.00%,no,0.00%,LE07_L1TP_145043_20010121_20170208_01_T1,Test
Subtropical.North,**,p145_r43_2,4/27/2001,64.04,0.00%,no,0.00%,LE07_L1TP_145043_20010427_20170205_01_T1,Test
Subtropical.North,**,p145_r43_3,8/1/2001,63.57,88.44%,no,68.15%,LE07_L1TP_145043_20010801_20170204_01_T1,Train
Subtropical.North,**,p145_r43_4,11/21/2001,40.41,0.00%,no,0.00%,LE07_L1TP_145043_20011121_20170202_01_T1,Test
Subtropical.North,**,p180_r43,5/2/2001,64.89,0.00%,no,0.16%,LE07_L1TP_180043_20010502_20170205_01_T1,Train
Subtropical.North,**,p180_r47,5/2/2001,65.03,0.00%,no,0.00%,LE07_L1TP_180047_20010502_20170206_01_T1,Test
Subtropical.North,**,p189_r47,8/5/2001,62.92,4.62%,yes,12.07%,LE07_L1TP_189047_20010805_20170204_01_T1,Train
Subtropical.South,**,p1_r76,11/20/2001,62.13,0.07%,yes,1.41%,LE07_L1TP_001076_20011120_20170202_01_T1,Train
Subtropical.South,**,p6_r70,12/9/2001,60.39,14.37%,no,17.03%,LE07_L1TP_006070_20011209_20170202_01_T1,Test
Subtropical.South,**,p101_r72,12/3/2001,61.59,0.33%,yes,0.86%,LE07_L1TP_101072_20011203_20170202_01_T1,Train
Subtropical.South,**,p101_r74,10/16/2001,59.45,0.01%,no,2.15%,LE07_L1TP_101074_20011016_20170202_01_T1,Test
Subtropical.South,**,p112_r78,12/16/2001,60.24,0.00%,no,0.00%,LE07_L1TP_112078_20011216_20170202_01_T1,Test
Subtropical.South,**,p158_r72_1,3/21/2001,52.39,34.96%,no,30.76%,LE07_L1TP_158072_20010321_20170206_01_T1,Train
Subtropical.South,**,p158_r72_3,9/13/2001,52.54,55.50%,no,55.38%,LE07_L1TP_158072_20010913_20170203_01_T1,Test
Subtropical.South,**,p160_r77,10/13/2001,56.61,0.89%,yes,5.97%,LE07_L1TP_160077_20011013_20170202_01_T1,Test
Subtropical.South,**,p170_r77,2/5/2001,54.68,33.29%,yes,33.63%,LE07_L1TP_170077_20010205_20170207_01_T1,Train
Subtropical.South,**,p226_r79,1/28/2001,54.89,66.19%,no,78.68%,LE07_L1TP_226079_20010128_20170207_01_T1,Test
Subtropical.South,**,p230_r79,2/9/2001,53.15,0.02%,no,5.94%,LE07_L1TP_230079_20010209_20170207_01_T1,Test
Subtropical.South,**,p232_r79,11/6/2001,59.99,1.07%,no,0.49%,LE07_L1TP_232079_20011106_20170202_01_T1,Train
Tropical,**,p4_r70,2/26/2001,55.53,88.27%,no,87.75%,LE07_L1GT_004070_20010226_20170206_01_T2,Train
Tropical,**,p6_r58,5/31/2001,56.36,56.17%,no,43.59%,LE07_L1TP_006058_20010531_20170205_01_T1,Train
Tropical,**,p11_r55,6/3/2001,59.05,89.40%,no,95.63%,LE07_L1GT_011055_20010603_20170205_01_T2,Train
Tropical,**,p17_r52,9/17/2001,61.8,8.22%,no,12.27%,LE07_L1TP_017052_20010917_20170203_01_T1,Train
Tropical,**,p99_r66,11/19/2001,61.35,90.13%,no,97.00%,LE07_L1GT_099066_20011119_20170202_01_T2,Train
Tropical,**,p170_r57,9/17/2001,62.11,14.40%,no,12.59%,LE07_L1TP_170057_20010917_20170203_01_T1,Train
Tropical,**,p174_r67_1,3/5/2001,56.38,93.06%,no,92.14%,LE07_L1GT_174067_20010305_20170206_01_T2,Train
Tropical,**,p174_r67_3,9/29/2001,60.27,30.35%,no,56.08%,LE07_L1TP_174067_20010929_20170203_01_T1,Train
Tropical,**,p184_r55,7/17/2001,57.73,93.10%,no,92.08%,LE07_L1GT_184055_20010717_20170204_01_T2,Test
Tropical,**,p199_r51,3/4/2001,54.15,0.00%,no,0.00%,LE07_L1TP_199051_20010304_20170206_01_T1,Train
Tropical,**,p225_r68,12/23/2001,58,60.64%,no,53.65%,LE07_L1TP_225068_20011223_20170201_01_T1,Train
